in:Iteration,out:Sunshine_hrs,out:SVF,out:Horizontal_Solar,out:Roof_Solar,out:A/V_ratio,out:Isovist_GP,out:%Surface_View,out:FSR,out:Site_Cvr%,out:Max_H,img,threeD
38,1210.844907,0.421525,2507.171339,1141.149449,0.171023,366.156107,38.059531,2.791822,35.735234,16,FragmentB38_Aerial Iso 2.png,FragmentB38.json
39,1111.953901,0.38618,2430.146206,1095.61982,0.171893,374.424055,34.617491,3.166413,42.955517,16,FragmentB39_Aerial Iso 2.png,FragmentB39.json
40,1362.314466,0.447642,2454.534059,1084.261167,0.168916,385.260537,38.263463,2.91233,37.86151,16,FragmentB40_Aerial Iso 2.png,FragmentB40.json
41,1846.662459,0.578983,1843.184471,1121.92603,0.184531,550.832667,49.877659,2.037774,26.832216,16,FragmentB41_Aerial Iso 2.png,FragmentB41.json
42,1384.974948,0.440189,2446.090403,1146.491882,0.178098,437.321638,37.293278,2.624973,33.27021,16,FragmentB42_Aerial Iso 2.png,FragmentB42.json
43,1803.623028,0.593969,2701.613448,1167.739969,0.175122,481.848827,57.966443,2.050464,25.336581,16,FragmentB43_Aerial Iso 2.png,FragmentB43.json
44,1111.953901,0.38618,2430.146206,1096.982713,0.171893,374.424055,34.617491,3.166413,42.955517,16,FragmentB44_Aerial Iso 2.png,FragmentB44.json
45,1245.222322,0.451217,2496.747985,1117.039705,0.171321,372.896973,38.278711,2.886404,38.66728,16,FragmentB45_Aerial Iso 2.png,FragmentB45.json
46,1442.796493,0.483822,2542.856461,1126.067273,0.158324,415.734017,42.070572,2.818646,40.700757,16,FragmentB46_Aerial Iso 2.png,FragmentB46.json
47,1470.228653,0.495713,2639.687092,1154.402901,0.173779,431.909892,48.417336,2.46755,32.42793,16,FragmentB47_Aerial Iso 2.png,FragmentB47.json
48,1621.262769,0.500728,2557.333844,1101.435926,0.174502,478.164504,45.893913,2.481984,31.731948,16,FragmentB48_Aerial Iso 2.png,FragmentB48.json
49,1831.655025,0.576732,2002.388941,1101.435926,0.170889,487.498645,55.293365,2.088184,27.138982,16,FragmentB49_Aerial Iso 2.png,FragmentB49.json
50,1355.027356,0.455634,1791.358118,1128.830808,0.176711,363.128887,39.988671,2.630068,35.115346,16,FragmentB50_Aerial Iso 2.png,FragmentB50.json
51,1655.621535,0.5701,1910.534524,1109.416994,0.164603,435.624031,53.188104,2.310349,29.155476,16,FragmentB51_Aerial Iso 2.png,FragmentB51.json
52,1501.266657,0.505788,2485.01577,1097.551979,0.173336,422.761086,41.346242,2.624257,33.812715,16,FragmentB52_Aerial Iso 2.png,FragmentB52.json
53,1540.706879,0.493396,1797.49586,1097.315099,0.169314,447.793602,42.039234,2.603343,33.072872,16,FragmentB53_Aerial Iso 2.png,FragmentB53.json
54,1541.265363,0.526149,1895.459437,1102.342592,0.16455,419.386,48.048847,2.432418,32.458401,16,FragmentB54_Aerial Iso 2.png,FragmentB54.json
55,1362.314466,0.447642,2454.534059,1084.261167,0.168916,385.260537,38.263463,2.91233,37.86151,16,FragmentB55_Aerial Iso 2.png,FragmentB55.json
56,1277.937211,0.434033,1782.399474,1084.261167,0.165806,357.880881,38.848078,2.903207,38.558664,16,FragmentB56_Aerial Iso 2.png,FragmentB56.json
57,1577.85627,0.52735,2508.60917,1106.696982,0.174343,414.359041,44.151235,2.499186,31.761247,16,FragmentB57_Aerial Iso 2.png,FragmentB57.json
58,1237.624681,0.426592,2548.767694,1119.507265,0.170621,351.659363,40.967227,2.877264,38.398525,16,FragmentB58_Aerial Iso 2.png,FragmentB58.json
59,1676.080684,0.547143,3807.842699,1200.04298,0.190661,459.101038,38.725107,1.83066,28.781642,16,FragmentB59_Aerial Iso 2.png,FragmentB59.json
60,1025.020672,0.3721,2436.232312,1148.115773,0.173915,328.85379,34.013691,3.016385,39.893817,16,FragmentB60_Aerial Iso 2.png,FragmentB60.json
61,1827.301303,0.603583,3850.227926,1195.773028,0.190373,473.53829,47.74632,1.562699,24.466052,16,FragmentB61_Aerial Iso 2.png,FragmentB61.json
62,1423.489717,0.495416,1813.19489,1083.231368,0.163136,421.040546,42.935058,2.711436,35.594952,16,FragmentB62_Aerial Iso 2.png,FragmentB62.json
63,1423.489717,0.495416,1812.961681,1090.667838,0.163136,421.040546,42.909171,2.711436,35.594952,16,FragmentB63_Aerial Iso 2.png,FragmentB63.json
