in:Layer ,out:Sunshine rs,out:SVF,out:North_Solar,out:East_Solar,out:NE_Solar,out:SE_Solar,out:South_Solar,out:SW_Solar,out:West_Solar,out:NW_Solar,out:Roof_Solar,out:A/V ratio,img,threeD
51,1739.157193,0.394027,-999,-999,169.60454,776.393081,-999,263.143061,-999,213.06912,412.735741,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer51_Top2_.png,Layer51.json
52,1963.691126,0.402282,179.778085,229.010594,-999,-999,785.651568,-999,184.50051,-999,401.766343,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer52_Top2_.png,Layer52.json
53,1913.476154,0.397577,-999,-999,117.024777,705.632275,-999,303.554686,-999,286.835624,368.177473,0.357023,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer53_Top2_.png,Layer53.json
54,1757.466569,0.388149,-999,-999,112.148986,712.019192,-999,319.578476,-999,344.996176,540.867477,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer54_Top2_.png,Layer54.json
55,1742.951312,0.388344,-999,-999,108.491259,702.885542,-999,305.09768,-999,324.290296,427.246625,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer55_Top2_.png,Layer55.json
56,1824.048651,0.404047,198.601145,229.683877,-999,-999,819.862138,-999,191.993362,-999,526.871177,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer56_Top2_.png,Layer56.json
57,1968.988813,0.404209,180.355217,221.995543,-999,-999,786.010996,-999,178.970286,-999,411.711701,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer57_Top2_.png,Layer57.json
58,1739.157193,0.394027,-999,-999,169.60454,776.393081,-999,263.143061,-999,213.06912,412.735741,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer58_Top2_.png,Layer58.json
59,1972.148268,0.405267,184.143388,231.22786,-999,-999,797.222889,-999,190.799661,-999,522.899429,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer59_Top2_.png,Layer59.json
60,1927.991653,0.398798,-999,-999,110.313923,702.885539,-999,285.759096,-999,309.370679,423.7478,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer60_Top2_.png,Layer60.json
61,1793.238311,0.398051,189.035927,236.573582,-999,-999,806.534369,-999,178.890755,-999,369.169605,0.357023,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer61_Top2_.png,Layer61.json
62,1963.691126,0.402282,179.778085,229.010594,-999,-999,785.651568,-999,184.50051,-999,401.766343,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer62_Top2_.png,Layer62.json
63,1750.045098,0.396255,-999,-999,164.636865,777.803783,-999,254.240059,-999,214.169983,427.357512,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer63_Top2_.png,Layer63.json
64,1740.125472,0.393842,-999,-999,163.512668,770.746905,-999,253.621198,-999,214.760138,359.758421,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer64_Top2_.png,Layer64.json
65,1738.526103,0.394648,-999,-999,176.042811,784.087955,-999,272.243814,-999,211.384111,517.648454,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer65_Top2_.png,Layer65.json
66,1933.332706,0.399406,-999,-999,114.525533,710.568078,-999,301.913883,-999,319.688577,534.347391,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer66_Top2_.png,Layer66.json
67,1963.691126,0.402282,179.778085,229.010594,-999,-999,785.651568,-999,184.50051,-999,401.766343,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer67_Top2_.png,Layer67.json
68,1740.125472,0.393842,-999,-999,163.512668,770.746905,-999,253.621198,-999,214.760138,359.758421,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer68_Top2_.png,Layer68.json
69,1802.742885,0.399686,192.464061,237.645966,-999,-999,812.983337,-999,185.288664,-999,511.11796,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer69_Top2_.png,Layer69.json
