in:Fillet,in:Width,in:form variable,in:Fillet Base,out:Floor Area Small,out:Floor Area Large,out:Floor Area Deviation,out:Floor Area,out: FAR,out:Facade Area,out:Num Panels,out:Percent Planar,out:Facade Cost,out:Avg Solar Rad. (kWh/m2),img
14,48,3,8,1754.340843,1869.309038,114.968195,74350.69263,7.589477176,25758.57239,2146,0.528425,26676521,87.733284,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width48_formvariable3_FilletBase8_Perspective.png
21,48,3,8,1545.457059,1868.885723,323.428665,70653.73265,7.212103511,24798.4695,2063,0.35143,27807456.65,91.05667,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width48_formvariable3_FilletBase8_Perspective.png
7,54,3,8,1789.061929,1882.379564,93.317635,75384.82696,7.695038249,26966.22681,2231,0.65307,26299711.37,76.787903,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width54_formvariable3_FilletBase8_Perspective.png
14,54,3,8,1700.897513,1868.359973,167.46246,72969.01161,7.448439666,25965.64835,2146,0.500932,27236634.17,81.976796,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width54_formvariable3_FilletBase8_Perspective.png
21,54,3,8,1544.715847,1866.360431,321.644584,69539.8292,7.098399865,25026.06743,2068,0.382012,27692093.92,84.25448,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width54_formvariable3_FilletBase8_Perspective.png
7,60,3,8,1645.061929,1882.275039,237.21311,72621.46491,7.412963228,27437.29374,2231,0.640072,26931824.02,70.172996,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width60_formvariable3_FilletBase8_Perspective.png
14,60,3,8,1573.604326,1868.332105,294.727779,70205.64957,7.166364646,26369.9031,2146,0.486952,27839171.19,74.224479,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width60_formvariable3_FilletBase8_Perspective.png
21,60,3,8,1513.101348,1866.332563,353.231215,67410.22513,6.8810168,25520.90853,2080,0.389904,28142124.25,77.095929,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width60_formvariable3_FilletBase8_Perspective.png
7,30,4,8,740.083703,1882.82983,1142.746127,67348.74495,6.874741103,27159.52292,2233,0.65562,26454697.43,26.02554,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width30_formvariable4_FilletBase8_Perspective.png
14,30,4,8,740.083703,1795.367994,1055.284291,64939.95252,6.628859396,26162.48985,2148,0.509777,27331068.88,27.604975,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width30_formvariable4_FilletBase8_Perspective.png
21,30,4,8,740.083703,1722.044124,981.96042,61256.83432,6.252898655,25174.5895,2065,0.356901,28162527.99,29.572552,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width30_formvariable4_FilletBase8_Perspective.png
7,36,4,8,1452.821279,1882.866941,430.045662,73467.87015,7.499361525,26854.74721,2231,0.658001,26126875.23,66.678021,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width36_formvariable4_FilletBase8_Perspective.png
14,36,4,8,1452.399578,1812.929832,360.530254,71052.05481,7.252762943,25878.85436,2146,0.506058,27081362.48,69.635515,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width36_formvariable4_FilletBase8_Perspective.png
21,36,4,8,1451.976263,1773.816038,321.839775,67355.09483,6.875389278,24908.81864,2063,0.354823,27890271.42,72.109493,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width36_formvariable4_FilletBase8_Perspective.png
7,42,4,8,1823.755318,1882.885497,59.130179,76553.51278,7.814333901,26711.86632,2231,0.679516,25709594.22,81.692537,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width42_formvariable4_FilletBase8_Perspective.png
14,42,4,8,1757.351795,1852.091145,94.73935,74137.69743,7.567735318,25748.78459,2146,0.532153,26619907.02,85.001785,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width42_formvariable4_FilletBase8_Perspective.png
21,42,4,8,1548.395655,1848.900043,300.504387,70440.73745,7.190361653,24791.47075,2063,0.35967,27700690.36,88.252529,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width42_formvariable4_FilletBase8_Perspective.png
7,48,4,8,1823.755318,1882.885497,59.130179,76553.51278,7.814333901,26711.53389,2231,0.676827,25744057.94,81.73059,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width48_formvariable4_FilletBase8_Perspective.png
14,48,4,8,1757.351795,1852.091145,94.73935,74137.69743,7.567735318,25748.72942,2146,0.531221,26631469.3,84.815342,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width48_formvariable4_FilletBase8_Perspective.png
21,48,4,8,1548.395655,1848.900043,300.504387,70440.73745,7.190361653,24791.40869,2063,0.363548,27654071.34,88.383981,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width48_formvariable4_FilletBase8_Perspective.png
7,54,4,8,1452.821279,1882.866941,430.045662,73467.87015,7.499361525,26854.71171,2231,0.657104,26138497.38,66.914837,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width54_formvariable4_FilletBase8_Perspective.png
14,54,4,8,1452.399578,1812.929832,360.530254,71052.05481,7.252762943,25878.82953,2146,0.514911,26970395.2,69.107589,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width54_formvariable4_FilletBase8_Perspective.png
21,54,4,8,1451.976263,1773.816038,321.839775,67355.09483,6.875389278,24908.69391,2063,0.352399,27919362.96,71.852021,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width54_formvariable4_FilletBase8_Perspective.png
7,60,4,8,740.083703,1882.82983,1142.746127,67348.74495,6.874741103,27159.55789,2233,0.655172,26460620.71,27.319298,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width60_formvariable4_FilletBase8_Perspective.png
14,60,4,8,740.083703,1795.367994,1055.284291,64939.95252,6.628859396,26162.61417,2148,0.506983,27366584.05,28.743006,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width60_formvariable4_FilletBase8_Perspective.png
21,60,4,8,740.083703,1722.044124,981.96042,61256.83432,6.252898655,25174.68471,2065,0.356416,28168537.47,30.110568,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width60_formvariable4_FilletBase8_Perspective.png
7,30,5,8,1445.609587,1882.422779,436.813192,68822.57435,7.02518482,28113.35271,2231,0.637382,27632037.24,72.437271,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width30_formvariable5_FilletBase8_Perspective.png
14,30,5,8,1375.791612,1782.300901,406.509289,66406.75901,6.778586238,26848.38776,2146,0.484157,28380662.54,76.380813,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width30_formvariable5_FilletBase8_Perspective.png
21,30,5,8,1367.990244,1754.163109,386.172865,64243.78963,6.55779735,26039.25025,2094,0.407354,28493684.62,78.613163,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width30_formvariable5_FilletBase8_Perspective.png
7,36,5,8,1720.735835,1882.43275,161.696915,74017.22635,7.555438022,27232.59829,2231,0.649485,26606781.96,79.262684,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width36_formvariable5_FilletBase8_Perspective.png
14,36,5,8,1647.146955,1828.232472,181.085517,71601.41101,7.308839439,26152.32663,2146,0.498136,27467854.45,82.583592,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width36_formvariable5_FilletBase8_Perspective.png
21,36,5,8,1544.20043,1827.66312,283.462691,68339.15156,6.975838592,25177.62258,2071,0.362144,28102001.63,86.321205,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width36_formvariable5_FilletBase8_Perspective.png
7,42,5,8,1857.661819,1882.437736,24.775917,76614.55236,7.820564623,26755.44027,2231,0.678619,25763146.83,83.759329,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width42_formvariable5_FilletBase8_Perspective.png
14,42,5,8,1750.031901,1864.982478,114.950576,74198.73701,7.57396604,25780.34462,2146,0.516309,26850305.8,86.949005,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width42_formvariable5_FilletBase8_Perspective.png
21,42,5,8,1541.262511,1864.886511,323.623999,70501.77703,7.196592375,24810.78282,2063,0.36064,27710622.13,90.403909,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width42_formvariable5_FilletBase8_Perspective.png
7,48,5,8,1857.661819,1882.437736,24.775917,76614.55236,7.820564623,26755.62923,2231,0.676827,25786556.18,83.702626,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width48_formvariable5_FilletBase8_Perspective.png
14,48,5,8,1750.031901,1864.982478,114.950576,74198.73701,7.57396604,25780.21833,2146,0.517241,26838540.74,86.882643,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width48_formvariable5_FilletBase8_Perspective.png
21,48,5,8,1541.262511,1864.886511,323.623999,70501.77703,7.196592375,24810.75502,2063,0.353369,27797939.85,90.32873,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width48_formvariable5_FilletBase8_Perspective.png
7,54,5,8,1720.735835,1882.43275,161.696915,74017.22635,7.555438022,27231.93959,2231,0.651726,26576587.28,79.324908,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width54_formvariable5_FilletBase8_Perspective.png
14,54,5,8,1647.146955,1828.232472,181.085517,71601.41101,7.308839439,26152.25735,2146,0.50233,27414675.32,82.70498,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width54_formvariable5_FilletBase8_Perspective.png
21,54,5,8,1544.20043,1827.66312,283.462691,68339.15156,6.975838592,25177.50262,2071,0.36649,28048889.21,86.388909,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width54_formvariable5_FilletBase8_Perspective.png
7,60,5,8,1445.609587,1882.422779,436.813192,68822.57435,7.02518482,28113.37856,2231,0.641416,27577148.95,72.15542,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width60_formvariable5_FilletBase8_Perspective.png
14,60,5,8,1375.791612,1782.300901,406.509289,66406.75901,6.778586238,26848.3325,2146,0.491612,28283679.88,75.973283,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width60_formvariable5_FilletBase8_Perspective.png
21,60,5,8,1367.990244,1754.163109,386.172865,64243.78963,6.55779735,26039.33069,2094,0.404489,28529899.4,78.262865,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width60_formvariable5_FilletBase8_Perspective.png
7,30,6,8,1024.650941,1878.338615,853.687675,70378.35707,7.183994066,27839.39391,2231,0.637831,27356726.69,78.233577,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width30_formvariable6_FilletBase8_Perspective.png
14,30,6,8,1013.97881,1869.517221,855.538411,68612.68016,7.003759503,26905.62841,2165,0.530254,27840625.72,81.580297,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width30_formvariable6_FilletBase8_Perspective.png
21,30,6,8,1013.97881,1869.517221,855.538411,66926.44809,6.831634411,26316.46847,2120,0.450943,28241602.56,82.620699,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width30_formvariable6_FilletBase8_Perspective.png
7,36,6,8,1573.81984,1878.968707,305.148867,74577.30813,7.61260935,27122.72778,2231,0.650829,26481776.74,81.552551,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width36_formvariable6_FilletBase8_Perspective.png
14,36,6,8,1454.692881,1869.865834,415.172953,72170.95289,7.366976424,26071.63346,2146,0.509786,27236039.25,85.987399,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width36_formvariable6_FilletBase8_Perspective.png
21,36,6,8,1454.692881,1869.865834,415.172953,69976.81811,7.143006274,25395.75517,2091,0.405548,27811751.36,88.918443,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width36_formvariable6_FilletBase8_Perspective.png
7,42,6,8,1848.40429,1879.93988,31.53559,76676.78367,7.826916993,26742.38043,2231,0.67593,25785395.17,83.723344,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width42_formvariable6_FilletBase8_Perspective.png
14,42,6,8,1723.478621,1870.04014,146.561519,74260.96832,7.58031841,25770.56339,2146,0.515843,26845933.2,87.220236,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width42_formvariable6_FilletBase8_Perspective.png
